LAKE NAME,DATE,SECCHI,LAKE TEMP,TIME,Year,Month,Day
Flathead Marco Bay,2/18/1994,1.55448,1.0,14:45,1994,2,18
Flathead Marco Bay,3/2/1994,1.9812,3.0,13:50,1994,3,2
Flathead Marco Bay,3/15/1994,1.61544,5.0,12:40,1994,3,15
Flathead Marco Bay,4/1/1994,1.338072,6.0,13:30,1994,4,1
Flathead Marco Bay,4/15/1994,1.55448,9.0,13:00,1994,4,15
Flathead Conrad ,4/16/1994,0.798576,8.0,12:00,1994,4,16
Flathead Conrad ,4/27/1994,0.999744,10.0,14:00,1994,4,27
Halfmoon,5/1/1994,1.524,9.0,11:35,1994,5,1
Flathead Marco Bay,5/2/1994,0.44196,13.0,12:00,1994,5,2
Flathead Somers Bay,5/8/1994,0.8382,12.0,13:10,1994,5,8
Flathead Mission View Terrace,5/8/1994,0.65532,11.0,13:10,1994,5,8
Loon,5/8/1994,2.286,16.0,17:00,1994,5,8
Tally,5/8/1994,1.283208,17.0,11:30,1994,5,8
Beaver,5/9/1994,1.76515776,18.0,14:30,1994,5,9
Ashley,5/14/1994,2.505456,8.2,9:45,1994,5,14
Ashley,5/14/1994,3.343656,11.0,8:10,1994,5,14
Flathead Marco Bay,5/15/1994,0.935736,14.0,12:00,1994,5,15
Bailey,5/17/1994,1.551432,13.0,11:15,1994,5,17
Swan,5/25/1994,1.28016,13.0,19:30,1994,5,25
Ashley,5/28/1994,2.785872,9.1,10:15,1994,5,28
Ashley,5/28/1994,1.670304,5.5,12:05,1994,5,28
Glen,5/30/1994,0.454152,12.0,12:00,1994,5,30
Flathead Marco Bay,6/1/1994,1.87452,13.0,11:50,1994,6,1
Flathead Polson Bay,6/2/1994,1.6764,15.0,13:45,1994,6,2
Lake Five,6/3/1994,1.670304,15.0,14:30,1994,6,3
Skyles,6/4/1994,1.2192,22.0,15:45,1994,6,4
Bailey,6/5/1994,1.773936,14.0,11:00,1994,6,5
Blanchard,6/5/1994,1.347216,10.0,14:15,1994,6,5
Rogers,6/5/1994,1.73736,17.0,16:00,1994,6,5
Beaver,6/9/1994,2.13676992,23.0,14:30,1994,6,9
Jette,6/9/1994,1.93548,17.0,12:00,1994,6,9
Halfmoon,6/10/1994,1.338072,20.0,19:00,1994,6,10
Flathead Conrad ,6/12/1994,2.602992,15.0,12:00,1994,6,12
Glen,6/12/1994,1.399032,15.0,13:00,1994,6,12
Flathead Marco Bay,6/15/1994,1.801368,17.0,14:35,1994,6,15
Bailey,6/18/1994,1.624584,15.0,14:45,1994,6,18
Loon,6/18/1994,1.96596,18.0,17:00,1994,6,18
Rogers,6/19/1994,1.719072,15.0,15:30,1994,6,19
Skyles,6/19/1994,1.28016,14.0,11:20,1994,6,19
Tally,6/19/1994,1.731264,14.0,9:30,1994,6,19
Flathead Polson Bay,6/20/1994,1.73736,16.0,15:35,1994,6,20
Flathead East Mack Alley,6/20/1994,2.88036,15.0,13:00,1994,6,20
Jette,6/20/1994,1.4478,25.0,14:00,1994,6,20
Swan,6/20/1994,1.764792,16.0,10:55,1994,6,20
Ashley,6/21/1994,2.353056,7.7,10:10,1994,6,21
Ashley,6/21/1994,2.04216,6.7,11:20,1994,6,21
Swan,6/22/1994,1.664208,16.0,18:00,1994,6,22
Beaver,6/23/1994,1.90451232,21.0,14:30,1994,6,23
Beaver,6/23/1994,1.81160928,20.0,12:30,1994,6,23
Flathead Somers Bay,6/24/1994,1.8288,17.0,13:45,1994,6,24
Flathead Mission View Terrace,6/24/1994,1.46304,17.0,13:45,1994,6,24
Flathead Indian Bay,6/24/1994,3.06324,16.0,14:15,1994,6,24
Glen,6/25/1994,1.524,23.0,15:00,1994,6,25
Bailey,6/27/1994,1.578864,17.0,20:00,1994,6,27
Swan,6/27/1994,1.95072,17.0,14:13,1994,6,27
Halfmoon,6/28/1994,1.2192,24.0,19:15,1994,6,28
Flathead Woods Bay,6/29/1994,2.88036,15.0,10:00,1994,6,29
Whitefish,6/30/1994,2.261616,17.0,12:20,1994,6,30
Whitefish,6/30/1994,2.25552,18.0,12:30,1994,6,30
Flathead Conrad ,7/1/1994,3.255264,16.0,14:10,1994,7,1
Flathead Marco Bay,7/1/1994,2.72796,20.0,13:55,1994,7,1
Jette,7/2/1994,1.6764,20.0,14:00,1994,7,2
Beaver,7/4/1994,1.95096384,17.0,14:45,1994,7,4
Beaver,7/4/1994,1.6258032,22.0,15:00,1994,7,4
Rogers,7/4/1994,1.46304,17.0,15:00,1994,7,4
Flathead Woods Bay,7/7/1994,2.785872,17.0,9:45,1994,7,7
Flathead Indian Bay,7/7/1994,,17.0,14:15,1994,7,7
Flathead East Mack Alley,7/7/1994,3.16992,17.0,12:00,1994,7,7
Mary Ronan,7/7/1994,2.322576,17.0,10:30,1994,7,7
Mary Ronan,7/7/1994,2.694432,17.0,10:30,1994,7,7
Swan,7/7/1994,2.538984,19.0,11:54,1994,7,7
Ashley,7/9/1994,1.856232,6.1,13:20,1994,7,9
Ashley,7/9/1994,2.136648,7.0,13:37,1994,7,9
Bailey,7/10/1994,1.40208,16.0,14:00,1994,7,10
Glen,7/10/1994,1.95072,20.0,13:30,1994,7,10
Flathead Polson Bay,7/11/1994,6.09,18.0,13:00,1994,7,11
Halfmoon,7/11/1994,1.670304,18.0,20:00,1994,7,11
Swan,7/12/1994,1.95072,19.0,18:30,1994,7,12
Flathead Crescent Bay,7/13/1994,2.197608,17.0,15:35,1994,7,13
Flathead Sessions Point,7/13/1994,2.273808,17.0,10:00,1994,7,13
Swan,7/13/1994,1.911096,19.0,19:15,1994,7,13
Jette,7/14/1994,1.850136,22.0,11:30,1994,7,14
Flathead Woods Bay,7/15/1994,3.16992,19.0,17:30,1994,7,15
Flathead Marco Bay,7/15/1994,2.962656,22.0,15:10,1994,7,15
Ashley,7/17/1994,2.691384,8.8,17:25,1994,7,17
Ashley,7/17/1994,2.691384,8.8,18:00,1994,7,17
Lake Five,7/17/1994,1.856232,11.0,17:30,1994,7,17
Flathead Conrad ,7/19/1994,3.157728,20.0,15:45,1994,7,19
Swan,7/19/1994,2.40792,21.0,18:00,1994,7,19
Tally,7/19/1994,2.08788,20.0,9:00,1994,7,19
Flathead East Mack Alley,7/20/1994,3.3528,20.0,15:30,1994,7,20
Flathead Somers Bay,7/22/1994,2.52984,24.0,12:45,1994,7,22
